Year,Country,Population (in millions),Real GDP(in milllion $),Real GDP per capita,log(Real GDP per capita)
1980,Aruba,0.060095999,1020.158325,16975.47816,4.229822016
1980,Angola,8.929900169,25335.56836,2837.161433,3.452884048
1980,Anguilla,0.006702,78.45661926,11706.44904,4.068425179
1980,Albania,2.68123889,9050.260742,3375.402608,3.528325582
1980,United Arab Emirates,1.042384028,264067,253329.86,5.403686383
1980,Argentina,28.10588837,111813.9609,3978.310861,3.599698715
1980,Antigua and Barbuda,0.073441997,419.1360168,5707.034571,3.756410503
1980,Australia,14.64911366,324801.1563,22172.06883,4.345806218
1980,Austria,7.609752178,134577.75,17684.90574,4.247602749
1980,Burundi,4.116816998,3617.510498,878.7154008,2.943848238
1980,Belgium,9.868994713,201185.1719,20385.57905,4.309323052
1980,Benin,3.717164993,7508.220215,2019.878114,3.305325163
1980,Burkina Faso,6.822843075,6696.185547,981.4362537,2.991862097
1980,Bangladesh,81.47086334,98328.91406,1206.921223,3.081678924
1980,Bulgaria,8.878774643,59977.42969,6755.147202,3.829634817
1980,Bahrain,0.359887987,8609.05957,23921.49744,4.378788362
1980,Bahamas,0.210660994,4932.156738,23412.76685,4.36945274
1980,Belize,0.144154996,602.4486084,4179.172602,3.621090308
1980,Bermuda,0.056992002,26039.80664,456902.825,5.659823843
1980,Bolivia (Plurinational State of),5.589574814,12483.91504,2233.428383,3.348972031
1980,Brazil,121.1597595,646020,5331.968325,3.726887561
1980,Barbados,0.252193987,2911.020996,11542.78509,4.06231061
1980,Brunei Darussalam,0.193948999,16893.5,87102.79549,4.940032094
1980,Bhutan,0.409171999,761.5661621,1861.237242,3.269801734
1980,Botswana,1.001157999,2046.043213,2043.676637,3.31041218
1980,Central African Republic,2.279820919,2277.724609,999.0804937,2.99960048
1980,Canada,24.53742218,604152.125,24621.6624,4.391317372
1980,Switzerland,6.303609848,191792.2344,30425.77809,4.483241693
1980,Chile,11.26622581,74751.52344,6635.010221,3.821841596
1980,China,993.8773193,1813446.5,1824.618054,3.261171968
1980,C̫te d'Ivoire,8.293675423,19695.08398,2374.711208,3.375610802
1980,Cameroon,8.618353844,18841.67969,2186.227211,3.339695295
1980,D.R. of the Congo,26.35746193,52861.99609,2005.579909,3.30223997
1980,Congo,1.839934945,5909.290039,3211.684225,3.506732839
1980,Colombia,27.73789978,192873.5625,6953.43065,3.842199128
1980,Comoros,0.307828993,1196.633057,3887.330581,3.589651475
1980,Cabo Verde,0.286657006,460.5072632,1606.474826,3.205873924
1980,Costa Rica,2.389309883,18431.94141,7714.336904,3.887298602
1980,Cayman Islands,0.016162001,596.3068237,36895.60709,4.566974661
1980,Cyprus,0.508599997,7071.912109,13904.66409,4.143160502
1980,Germany,78.30065155,1529460.625,19533.17878,4.290772925
1980,Djibouti,0.358960003,1454.56543,4052.165754,3.607687202
1980,Dominica,0.075314,405.1455688,5379.419066,3.730735378
1980,Denmark,5.123945236,108531.8984,21181.31507,4.32595292
1980,Dominican Republic,5.809268951,21516.0625,3703.747008,3.568641314
1980,Algeria,19.33771515,203118.7188,10503.75999,4.02134479
1980,Ecuador,7.976445198,57156.46875,7165.656797,3.855256004
1980,Egypt,44.09914017,59315.64453,1345.052178,3.128739132
1980,Spain,37.79679489,543234.5,14372.50173,4.15753237
1980,Ethiopia,35.26489639,24899.02539,706.0569557,2.848839736
1980,Finland,4.788242817,90951.14844,18994.68175,4.278632021
1980,Fiji,0.635254979,3633.081055,5719.091033,3.757327009
1980,France,55.35782623,1240582.5,22410.24593,4.350446622
1980,Gabon,0.729158998,9553.130859,13101.57441,4.117323488
1980,United Kingdom,56.26547623,1116304,19839.94582,4.297540482
1980,Ghana,10.8020277,35407.11719,3277.821365,3.515585282
1980,Guinea,4.511901855,15004.95801,3325.639273,3.52187514
1980,Gambia,0.604368985,1635.213379,2705.65403,3.432272263
1980,Guinea-Bissau,0.800854027,1006.716003,1257.053057,3.099353609
1980,Equatorial Guinea,0.25532499,607.6244507,2379.807992,3.376541919
1980,Greece,9.634504318,137380.0938,14259.1761,4.154094433
1980,Grenada,0.089005001,323.3441162,3632.875827,3.560250554
1980,Guatemala,7.283459187,27285.17969,3746.184195,3.573589127
1980,"China, Hong Kong SAR",4.915466785,73174.25781,14886.53286,4.17279356
1980,Honduras,3.678286076,10129.86133,2753.96234,3.439957997
1980,Haiti,5.688836098,10020.02441,1761.348761,3.245845358
1980,Hungary,10.75476646,109717.4609,10201.75206,4.008674764
1980,Indonesia,148.0779266,327585.3125,2212.249455,3.344834097
1980,India,696.7835083,810137.25,1162.681436,3.065460738
1980,Ireland,3.434952974,43108.87891,12550.06378,4.098645933
1980,Iran (Islamic Republic of),38.66822052,121547.1016,3143.333206,3.49739042
1980,Iraq,13.6533556,84340.39844,6177.265203,3.790796247
1980,Iceland,0.228262007,5743.743164,25162.93988,4.40076138
1980,Israel,3.744667053,61987.48828,16553.53798,4.21889083
1980,Italy,56.41927719,1117222.875,19802.14796,4.296712301
1980,Jamaica,2.16304493,9150.036133,4230.16462,3.626357269
1980,Jordan,2.374422073,9883.50293,4162.487807,3.619352974
1980,Japan,117.8273544,2236475.75,18980.95532,4.278318067
1980,Kenya,16.26898956,33362.66016,2050.690366,3.311900091
1980,Cambodia,6.692107201,5528.17334,826.0736378,2.917018763
1980,Saint Kitts and Nevis,0.04321,318.1392212,7362.629546,3.867032949
1980,Republic of Korea,38.05042267,183812.2344,4830.754075,3.684014929
1980,Kuwait,1.372318029,77993.07813,56833.09295,4.754601292
1980,Lao People's DR,3.258143902,2635.168213,808.7942989,2.907838081
1980,Lebanon,2.605293036,14874.43262,5709.312701,3.75658383
1980,Liberia,1.888314009,3485.023682,1845.574235,3.266131519
1980,Saint Lucia,0.117987,782.9105225,6635.566004,3.821877973
1980,Sri Lanka,15.03585625,35231.60547,2343.17254,3.369804269
1980,Lesotho,1.31011796,2585.451172,1973.449148,3.29522594
1980,Luxembourg,0.364037991,8729,23978.26663,4.379817785
1980,"China, Macao SAR",0.238117993,3225.748779,13546.8502,4.131838328
1980,Morocco,20.01984787,53087.33984,2651.735427,3.423530191
1980,Madagascar,8.716552734,12701.28027,1457.14489,3.163502738
1980,Maldives,0.158384994,540.022583,3409.556489,3.53269789
1980,Mexico,69.36087036,851142.875,12271.22541,4.088887934
1980,Mali,7.090126038,4618.395996,651.3841886,2.813837212
1980,Malta,0.333274007,3171.270996,9515.506553,3.978431913
1980,Myanmar,33.36971283,29367.99414,880.079319,2.944521816
1980,Mongolia,1.689622045,2838.537598,1679.983761,3.225305084
1980,Mozambique,11.84833145,7336.733398,619.22081,2.791845543
1980,Mauritania,1.534085035,3682.674561,2400.567423,3.380313908
1980,Montserrat,0.01192,171.7730713,14410.49204,4.15867881
1980,Mauritius,0.966031015,5721.905273,5923.107214,3.772549594
1980,Malawi,6.163080215,7316.041504,1187.075496,3.07447834
1980,Malaysia,13.79812527,90517.19531,6560.108244,3.816911005
1980,Namibia,1.012671947,5881.39209,5807.796004,3.764011354
1980,Niger,5.988903999,8073.692871,1348.108581,3.129724873
1980,Nigeria,73.46072388,411231,5597.970974,3.748030642
1980,Nicaragua,3.249910116,16319.53711,5021.534912,3.700836486
1980,Netherlands,14.14841461,322817,22816.47866,4.358248619
1980,Norway,4.086075783,99120.58594,24258.13695,4.384857444
1980,Nepal,14.90216255,11090.05566,744.1910277,2.87168443
1980,New Zealand,3.146619081,51180.71094,16265.30241,4.211262142
1980,Oman,1.15437901,13300.85352,11522.08538,4.061531089
1980,Pakistan,78.06814575,162794.2031,2085.283332,3.319165072
1980,Panama,1.978577971,12303.15039,6218.178191,3.793663163
1980,Peru,17.35911942,68160.16406,3926.475902,3.594002936
1980,Philippines,47.39696884,151617.25,3198.880724,3.504998047
1980,Poland,35.53510666,221294.2813,6227.483243,3.794312568
1980,Portugal,9.804850578,101423.0234,10344.16819,4.014695573
1980,Paraguay,3.180629969,11032.99707,3468.808751,3.540180356
1980,State of Palestine,1.509183049,4322.236816,2863.957966,3.45696664
1980,Qatar,0.223774999,17726.54883,79215.94851,4.898812627
1980,Romania,22.6119709,140702.2031,6222.465248,3.79396248
1980,Rwanda,5.140716076,6105.721191,1187.718034,3.074713351
1980,Saudi Arabia,9.740598679,382842.9375,39303.84057,4.594434989
1980,Sudan,14.50746822,23961.7207,1651.681764,3.217926374
1980,Senegal,5.592646122,11377.88477,2034.436744,3.308444191
1980,Singapore,2.41170001,44254.37891,18349.86885,4.263632965
1980,Sierra Leone,3.365441084,3783.766357,1124.300281,3.050882319
1980,El Salvador,4.580704212,11723.16797,2559.250156,3.408112738
1980,Sao Tome and Principe,0.094949,246.6353302,2597.555859,3.414564896
1980,Suriname,0.362776995,2094.105469,5772.431823,3.761358812
1980,Sweden,8.316337585,164282.0469,19754.13398,4.295657995
1980,Eswatini,0.603371978,2048.29541,3394.747329,3.530807455
1980,Seychelles,0.066294,976.3562622,14727.67172,4.168134095
1980,Syrian Arab Republic,8.930773735,20728.50586,2321.020157,3.365678912
1980,Turks and Caicos Islands,0.007519,497.6207275,66181.76801,4.820738365
1980,Chad,4.512042046,3760.974365,833.5415156,2.920927235
1980,Togo,2.720839024,5994.869629,2203.316542,3.343076895
1980,Thailand,47.38532257,157532.9219,3324.5088,3.521727487
1980,Trinidad and Tobago,1.085307956,21973.5918,20246.4118,4.306348066
1980,Tunisia,6.368166924,28164.50195,4422.701586,3.645687637
1980,Turkey,43.97592163,337901.6875,7683.78865,3.885575411
1980,Taiwan,17.70453835,170902.1875,9653.01575,3.984663015
1980,U.R. of Tanzania: Mainland,18.68315697,33866.50781,1812.67587,3.258320154
1980,Uganda,12.54953957,9430.073242,751.4278267,2.875887274
1980,Uruguay,2.915777922,27169.98047,9318.261266,3.969334883
1980,United States,229.7630463,6698716,29154.88852,4.464711385
1980,St. Vincent and the Grenadines,0.100505002,418.3520203,4162.499503,3.619354195
1980,Venezuela (Bolivarian Republic of),15.34391594,162005.75,10558.30537,4.023594218
1980,British Virgin Islands,0.011002,82.18734741,7470.21853,3.873333307
1980,Viet Nam,54.37251282,56182.33984,1033.285698,3.014220418
1980,South Africa,29.76047134,266494.875,8954.659082,3.952049056
1980,Zambia,5.889229774,8413.195313,1428.573113,3.154902472
1980,Zimbabwe,7.164172173,18222.8457,2543.608007,3.405450183
