Year,Country,Population (in millions),Real GDP(in milllion $),Real GDP per capita,log(Real GDP per capita)
1985,Aruba,0.063026004,1576.163574,25008.1472,4.398081517
1985,Angola,10.60904217,28720.04297,2707.128741,3.43250891
1985,Anguilla,0.006662,91.80814362,13780.86821,4.139276579
1985,Albania,2.966798067,9950.552734,3353.970344,3.525559218
1985,United Arab Emirates,1.391052008,194064.3906,139509.0835,5.144602485
1985,Argentina,30.3887825,133327.2344,4387.383218,3.64220557
1985,Antigua and Barbuda,0.069781996,433.4667358,6211.727362,3.793212386
1985,Australia,15.72964287,374576,23813.38236,4.376821085
1985,Austria,7.614868164,140056.1563,18392.45976,4.264639814
1985,Burundi,4.702065945,4380.504883,931.6128133,2.969235453
1985,Belgium,9.916578293,170603.2969,17203.84712,4.235625575
1985,Benin,4.278501034,7867.987793,1838.958956,3.264572036
1985,Burkina Faso,7.727907181,7190.430664,930.4499259,2.968693006
1985,Bangladesh,93.19986725,117072.6875,1256.146505,3.099040294
1985,Bulgaria,8.975291252,77476.39063,8632.186795,3.93612083
1985,Bahrain,0.419429988,3950.461914,9418.644423,3.973988402
1985,Bahamas,0.234687001,5683.643555,24217.97348,4.384137799
1985,Belize,0.164921001,615.1000366,3729.664715,3.571669792
1985,Bermuda,0.05892,20962.34766,355776.4383,5.551177183
1985,Bolivia (Plurinational State of),6.211550236,13773.95215,2217.474161,3.345858568
1985,Brazil,135.6762848,731457.125,5391.19365,3.731684932
1985,Barbados,0.255923986,2699.255615,10547.09898,4.023133022
1985,Brunei Darussalam,0.224511996,14195.21582,63226.98154,4.800902449
1985,Bhutan,0.467177987,1131.201172,2421.349471,3.384057475
1985,Botswana,1.189113975,4280.506836,3599.744791,3.556271712
1985,Central African Republic,2.634232044,3056.676758,1160.367313,3.064595486
1985,Canada,25.87394905,693214.1875,26791.97467,4.428004724
1985,Switzerland,6.456223965,200398.875,31039.64114,4.491916692
1985,Chile,12.18102837,68597.50781,5631.503823,3.750624383
1985,China,1070.863403,2617153.75,2443.966002,3.38809516
1985,C̫te d'Ivoire,10.22255802,24688.07031,2415.057979,3.382927561
1985,Cameroon,10.05002308,32272.95117,3211.231548,3.506671622
1985,D.R. of the Congo,29.88344574,58802.10938,1967.715165,3.293962233
1985,Congo,2.127769947,9284.380859,4363.43265,3.639828277
1985,Colombia,31.01168823,197482.875,6368.014328,3.804004032
1985,Comoros,0.355336994,1502.843018,4229.345785,3.626273194
1985,Cabo Verde,0.31506899,554.9654541,1761.409316,3.245860289
1985,Costa Rica,2.730232954,18822.89844,6894.246299,3.838486795
1985,Cayman Islands,0.019313,711.3493042,36832.66706,4.566233167
1985,Cyprus,0.541100025,8836.78418,16331.14723,4.213016694
1985,Germany,77.71743011,1478414.625,19022.94791,4.279277819
1985,Djibouti,0.425612986,1440.394775,3384.282958,3.529466667
1985,Dominica,0.073642999,483.7260437,6568.527229,3.817468005
1985,Denmark,5.114243031,111434.4688,21789.04446,4.338238185
1985,Dominican Republic,6.488855839,29778.84961,4589.22965,3.661739791
1985,Algeria,22.56590462,266810.625,11823.61751,4.072750372
1985,Ecuador,9.045978546,57875.63672,6397.940966,3.806040229
1985,Egypt,50.20498657,92199.97656,1836.470495,3.263983955
1985,Spain,38.83588409,473920.8438,12203.16866,4.086472614
1985,Ethiopia,40.80034256,36441.33203,893.1624037,2.950930434
1985,Finland,4.911220074,98000.02344,19954.31318,4.300036784
1985,Fiji,0.711660981,3379.588135,4748.873725,3.676590622
1985,France,56.81077194,1163530.125,20480.80118,4.311346942
1985,Gabon,0.83008498,9520.269531,11469.03,4.059526689
1985,United Kingdom,56.4661293,1157058.375,20491.19338,4.311567252
1985,Ghana,12.71622753,33034.31641,2597.807905,3.414607034
1985,Guinea,5.084766865,16168.50488,3179.792764,3.502398817
1985,Gambia,0.732096016,2097.773438,2865.434848,3.457190538
1985,Guinea-Bissau,0.899509013,921.1644897,1024.074775,3.010331669
1985,Equatorial Guinea,0.358895987,784.7838135,2186.660875,3.339781434
1985,Greece,9.974739075,139607.2188,13996.07726,4.146006331
1985,Grenada,0.099905998,359.155426,3594.933587,3.555690872
1985,Guatemala,8.240059853,27431.28125,3329.014806,3.522315727
1985,"China, Hong Kong SAR",5.337622166,88697.8125,16617.4768,4.220565081
1985,Honduras,4.281188965,10931.86523,2553.464779,3.407129872
